age_group,male,female,tot,agegroup7,agegroup16
Under 5,10.01,9.57,19.58,10_under,0to4
5 to 9,10.32,9.87,20.19,10_under,5to9
10 to 14,10.62,10.18,20.8,10to19,10to14
15 to 19,10.75,10.31,21.06,10to19,15to19
20 to 24,11.06,10.57,21.63,20-29,20to24
25 to 29,12,11.5,23.5,20-29,25to29
30 to 34,11.35,11.08,22.43,30-39,30to34
35 to 39,10.88,10.85,21.73,30-39,35to39
40 to 44,9.91,10.01,19.92,40-49,40to44
45 to 49,10.09,10.31,20.4,40-49,45to49
50 to 54,10.09,10.39,20.48,50-59,50to54
55 to 59,10.64,11.23,21.87,50-59,55to59
60 to 64,9.86,10.71,20.57,60+,60to64
65 to 69,8.2,9.26,17.46,60+,65to69
70 to 74,6.5,7.53,14.03,60+,70to74
75 to 79,4.32,5.33,9.65,60+,75over
80 to 84,2.68,3.64,6.32,60+,75over
85 and over,2.38,4.23,6.61,60+,75over
