"","Total (%)","Round 1","Round 2","Round 3","Round 4"
"Sex","","","","",""
"Female","3817 (63)","2 (1-4)","2 (2-6)","3 (2-6)","2 (2-6)"
"Male","2184 (36)","3 (1-4)","2 (2-6)","2.5 (2-6)","2 (2-6)"
"Not reported","11 (0)","2 (1.5-2.5)","1 (1-1)",NA,NA
"Age Group","","","","",""
"20-29","1603 (27)","2 (1-3.5)","2 (2-4)","3 (2-6)","2 (2-4)"
"30-39","1645 (27)","2 (1-4)","2 (1-4)","2 (1-4)","3 (2-6)"
"40-49","1532 (25)","3 (2-5)","4 (2-6)","4 (2-6)","4 (2-6)"
"50-59","917 (15)","2.5 (2-4)","4 (2-6)","4 (2-6)","4 (2-6)"
"60+","315 (5)","4 (2-4)","2 (2-6)","2 (1-2.25)","2 (2-5)"
"Family structure","","","","",""
"Alone","615 (10)","2 (1-3)","1 (1-2)","2 (1-4)","2 (1-4)"
"Extended","734 (12)","3.5 (2-6)","4 (3-6)","4 (2.75-6.25)","4 (2-6)"
"Nuclear","3916 (65)","2 (1-4)","2 (2-6)","3 (2-6)","3 (2-6)"
"Other","150 (2)","3 (2-4.5)","4 (1.75-6.5)","2 (1.5-3)","4 (4-4)"
"Roommates","597 (10)","3 (2-5)","2 (2-4)","2 (2-4)","3.5 (2-5.75)"
"Location of contact","","","","",""
"Community","1583 (27)","3 (2-5)","4 (2-8)","4 (2.5-8)","4 (2-7)"
"Home","3500 (61)","2 (1-4)","4 (2-6)","3 (2-6)","2 (2-4)"
"Work","688 (12)","5.5 (4-8.5)","5 (3-6)","6.5 (4-11.25)","6.5 (4-10.5)"
"11","NA (NA)",NA,"1 (1-1)","1 (1-1)","1 (1-1)"
"Company","","","","",""
"Accenture","2012 (33)","3 (1.25-4)","2 (2-4)","3 (1.5-6)","2 (2-6)"
"Emory","141 (2)","2 (1.5-4)","4 (2-6)","3 (1-4)","4 (2-6)"
"Emory 1599","703 (12)","2 (1-4)","4 (2-6)","3 (2-5)","2 (2-5)"
"Guidehouse","2070 (34)",NA,"2 (2-6.5)","2 (1-2)","4 (3.5-6)"
"Integral","87 (1)",NA,"2 (2-6)","4 (2-8)","2 (1-6)"
"Perkins & Will","999 (17)",NA,NA,NA,NA
"Race","","","","",""
"Black","570 (9)","2 (2-4)","2 (2-5.75)","2 (1-5)","3 (1.5-4)"
"White","3727 (62)","2 (1-4)","2 (2-6)","3 (2-6)","3 (2-6)"
"Asian","1201 (20)","3 (1-4)","2 (1-6)","3 (2-6)","2 (2-6)"
"Mixed","347 (6)","3 (2-4.5)","2 (1-4)","2 (1-2)","3 (2-5.5)"
"Other1","167 (3)","3 (1.75-4.25)","4 (2-4)","2 (2-4)",NA
"Hispanic","","","","",""
"No","5609 (93)","2 (1-4)","2 (2-6)","3 (2-6)","2 (2-6)"
"Yes","403 (7)","3.5 (2-5)","3 (2-6)","3.5 (1-4)","2 (2-6)"
